protocol,foi_remetido_sead_cgfr,dt_remetido_sead_cgfr,foi_recebido_sead_cgfr,dt_recebido_sead_cgfr,foi_remetido_cgfr_sead,dt_remetido_cgfr_sead,foi_recebido_cgfr_sead,dt_recebido_cgfr_sead
00002.000092/2025-74,True,2025-02-27T12:56:43,True,2025-02-28T08:27:14,False,,False,
00002.000149/2025-35,True,2025-03-13T12:16:09,True,2025-03-19T11:04:16,False,,False,
00002.000864/2025-78,True,2025-05-06T12:01:37,True,2025-05-06T12:16:44,False,,False,
00002.000890/2025-04,True,2025-01-30T14:31:45,True,2025-01-30T14:54:09,False,,False,
00002.000926/2025-41,True,2025-03-20T10:37:19,True,2025-03-21T12:31:48,False,,False,
00002.000928/2025-31,True,2025-03-31T11:55:55,True,2025-04-01T09:44:07,False,,False,
00002.000941/2025-90,True,2025-01-31T13:53:08,True,2025-02-03T08:31:48,False,,False,
00002.001009/2025-84,True,2025-06-12T09:15:29,True,2025-06-12T12:56:20,False,,False,
00002.001028/2025-19,True,2025-03-31T11:45:50,True,2025-04-01T10:00:56,False,,False,
00002.001131/2025-51,True,2025-05-06T12:34:52,True,2025-05-06T12:41:06,False,,False,
00002.001544/2025-35,True,2025-03-20T10:45:35,True,2025-03-24T12:04:41,False,,False,
00002.001632/2025-37,True,2025-05-06T12:10:26,True,2025-05-06T12:14:48,False,,False,
00002.002966/2025-28,True,2025-10-06T12:54:57,True,2025-10-06T13:09:34,False,,False,
00002.003104/2025-12,True,2025-05-15T09:57:42,True,2025-05-16T12:03:38,False,,False,
00002.003207/2025-82,True,2025-12-04T12:56:35,True,2025-12-05T10:52:24,False,,False,
00002.003475/2025-02,True,2025-05-26T08:05:19,True,2025-06-09T15:30:48,False,,False,
00002.003593/2025-11,True,2025-05-07T09:07:22,True,2025-05-07T11:08:36,False,,False,
00002.003682/2025-59,True,2025-11-17T17:23:08,True,2025-11-18T10:53:51,True,2025-11-18T12:05:31,True,2025-11-19T09:11:14
00002.003715/2025-61,True,2025-05-26T08:05:19,True,2025-06-09T15:30:48,False,,False,
00002.003716/2025-13,True,2025-05-26T08:05:19,True,2025-06-09T15:26:38,False,,False,
00002.003718/2025-02,True,2025-05-26T08:05:19,True,2025-06-09T15:26:37,False,,False,
00002.003748/2025-19,True,2025-05-26T08:05:19,True,2025-06-09T15:26:36,False,,False,
00002.003749/2025-55,True,2025-05-30T12:03:31,True,2025-06-06T12:47:46,False,,False,
00002.003756/2025-57,True,2025-05-30T07:54:46,True,2025-05-30T08:38:49,False,,False,
00002.004092/2025-43,True,2025-12-27T15:27:37,True,2025-12-29T09:16:52,False,,False,
00002.004392/2025-22,True,2025-07-09T11:38:27,True,2025-07-10T11:17:52,False,,False,
00002.004431/2025-91,True,2025-05-30T07:48:21,True,2025-05-30T12:21:51,False,,False,
00002.004487/2025-46,True,2025-05-16T11:19:11,True,2025-05-19T09:16:40,True,2025-06-02T08:47:29,True,2025-06-02T08:53:55
00002.004501/2025-10,True,2025-10-07T11:10:56,True,2025-10-07T11:11:17,False,,False,
00002.004607/2025-13,True,2025-05-29T20:27:00,True,2025-06-09T14:43:27,True,2025-07-29T08:19:48,True,2025-07-29T08:27:46
00002.005537/2025-11,True,2025-07-04T11:18:00,True,2025-07-04T11:43:23,False,,False,
00002.007832/2025-01,True,2025-08-05T13:00:11,True,2025-08-05T13:15:08,False,,False,
00002.007986/2025-95,True,2025-08-07T17:04:54,True,2025-08-11T12:31:36,True,2025-08-14T11:22:48,True,2025-08-14T15:08:33
00002.008448/2025-18,True,2025-09-15T13:14:20,True,2025-09-16T09:13:40,False,,False,
00002.009949/2025-11,True,2025-10-08T12:41:19,True,2025-10-08T12:43:16,True,2025-12-30T16:30:26,True,2026-01-05T08:38:03
00002.010660/2025-45,True,2025-12-10T08:01:28,True,2025-12-10T09:42:15,False,,False,
00002.010697/2025-73,True,2025-12-17T11:54:23,True,2025-12-18T09:45:05,False,,False,
00002.011855/2025-11,True,2025-11-18T11:07:23,True,2025-11-21T08:57:30,False,,False,
00002.012161/2025-92,True,2025-11-26T12:46:31,True,2025-11-27T08:52:31,False,,False,
00002.012163/2025-81,True,2025-11-26T12:47:02,True,2025-11-27T08:50:02,False,,False,
00002.012225/2025-55,True,2025-11-26T12:48:01,True,2025-11-26T13:35:17,False,,False,
00002.012405/2025-37,True,2025-12-05T16:21:08,True,2025-12-09T09:48:33,False,,False,
