protocol,foi_remetido_sead_cgfr,dt_remetido_sead_cgfr,foi_recebido_sead_cgfr,dt_recebido_sead_cgfr,foi_remetido_cgfr_sead,dt_remetido_cgfr_sead,foi_recebido_cgfr_sead,dt_recebido_cgfr_sead
00002.000092/2025-74,True,2025-02-27T12:56:43,True,2025-02-28T08:27:14,False,,False,
00002.000117/2020-25,True,2024-11-19T16:54:38,True,2025-01-13T09:09:05,False,,False,
00002.000149/2025-35,True,2025-03-13T12:16:09,True,2025-03-19T11:04:16,False,,False,
00002.000350/2024-31,True,2024-08-21T10:03:46,True,2024-08-21T10:15:40,True,2024-08-21T10:32:48,True,2024-08-21T11:50:27
00002.000448/2025-70,True,2025-07-07T10:24:10,True,2025-07-07T11:39:43,False,,False,
00002.000480/2023-93,True,2023-03-17T16:24:32,True,2023-03-20T07:58:59,False,,False,
00002.000554/2024-72,True,2024-03-15T11:45:43,True,2024-03-18T10:00:30,True,2024-05-08T11:05:02,True,2024-05-08T11:19:34
00002.000563/2024-63,True,2024-02-23T11:33:12,True,2024-02-23T11:36:32,False,,False,
00002.000606/2024-19,True,2024-04-16T16:33:16,True,2024-04-17T08:23:38,False,,False,
00002.000649/2023-13,True,2023-03-04T14:34:12,True,2023-03-06T08:59:46,False,,False,
00002.000681/2025-52,True,2025-02-10T09:52:24,True,2025-02-10T09:59:44,True,2025-02-10T12:11:42,True,2025-02-10T12:32:04
00002.000711/2024-40,True,2024-05-06T11:05:24,True,2024-05-06T13:09:08,False,,False,
00002.000768/2023-68,True,2023-03-21T08:11:20,True,2023-03-21T08:45:45,True,2023-10-13T07:47:24,True,2023-10-13T08:46:08
00002.000811/2023-95,True,2023-05-05T07:39:51,True,2023-05-05T09:12:35,False,,False,
00002.000812/2023-30,True,2023-05-31T12:19:10,True,2023-06-01T19:08:42,True,2023-09-12T08:12:43,True,2023-09-12T09:10:34
00002.000813/2023-84,True,2023-06-09T13:52:27,True,2023-06-12T08:59:06,True,2023-07-19T09:01:25,True,2023-07-27T16:57:42
00002.000814/2023-29,True,2023-06-26T11:10:08,True,2023-06-26T11:12:10,True,2023-07-19T09:55:37,True,2023-07-27T14:04:29
00002.000818/2025-79,True,2025-04-29T12:35:13,True,2025-04-30T10:04:07,False,,False,
00002.000835/2024-25,True,2024-02-21T08:30:52,True,2024-02-21T08:41:16,False,,False,
